,baseline,advanced
1,2,2
2,1,1
3,2,2
4,1,1
5,2,2
6,1,2
7,1,1
8,1,1
9,0,0
10,1,1
11,0,0
12,0,0
13,2,1
14,0,0
15,2,2
16,2,2
17,2,1
18,1,2
19,0,0
20,2,2
21,2,1
22,2,1
23,2,1
24,1,1
25,0,0
26,2,2
27,0,0
28,2,1
29,2,2
30,0,0
31,1,1
32,2,2
33,0,0
34,2,1
35,0,0
36,1,1
37,2,2
38,0,0
39,0,0
40,2,1
41,0,0
42,0,0
43,0,0
44,2,2
45,2,1
46,1,1
47,0,0
48,1,2
49,2,1
50,0,0
51,1,1
52,0,0
53,0,0
54,0,0
55,0,0
56,1,1
57,2,0
58,0,0
59,0,0
60,1,2
61,2,2
62,0,0
63,0,0
64,0,0
65,0,0
66,1,1
67,2,1
68,0,0
69,1,1
70,2,2
71,2,2
72,0,0
73,0,0
74,0,0
75,1,1
76,0,0
77,0,0
78,0,0
79,2,2
80,0,0
81,2,2
82,1,2
83,0,0
84,0,0
85,2,2
86,2,2
87,1,1
88,0,0
89,2,2
90,2,1
91,1,1
92,1,1
93,1,1
94,0,0
95,2,2
96,2,1
97,0,0
98,2,2
99,0,0
100,1,1
101,1,2
102,1,1
103,1,2
104,0,0
105,2,1
106,1,1
107,1,1
108,2,1
109,0,0
110,2,0
111,0,0
112,2,2
113,1,1
114,2,2
115,0,0
116,0,0
117,0,0
118,1,1
119,1,1
120,0,0
121,2,1
122,0,0
123,0,2
124,2,2
125,1,1
126,2,2
127,0,0
128,2,2
129,2,2
130,1,1
131,0,0
132,0,0
133,1,1
134,2,1
135,0,0
136,1,2
137,2,1
138,0,0
139,1,1
140,2,1
141,0,0
142,2,2
143,1,1
144,1,1
145,2,2
146,0,0
147,2,2
148,0,0
149,2,1
150,2,2
151,1,1
152,1,0
153,1,1
154,0,0
155,1,2
156,0,0
157,0,0
158,2,2
159,1,2
160,2,1
161,0,0
162,2,2
163,2,1
164,2,1
165,0,0
166,1,1
167,1,1
168,0,0
169,1,1
170,0,0
171,0,0
172,0,0
173,2,2
174,0,0
175,1,2
176,1,2
177,1,1
178,2,2
179,1,1
180,0,0
181,1,2
182,0,0
183,1,1
184,2,2
185,1,1
186,0,0
187,1,2
188,0,0
189,1,1
190,2,2
191,2,2
192,0,0
193,2,2
194,0,0
195,1,1
196,0,0
197,0,0
198,2,2
199,0,0
200,1,1
201,0,0
202,2,2
203,1,1
204,1,1
205,0,0
206,0,0
207,2,2
208,1,1
209,0,0
210,2,2
211,0,0
212,1,1
213,2,1
214,0,0
215,0,0
216,0,0
217,0,0
218,1,1
219,2,2
220,0,0
221,0,0
222,0,0
223,2,1
224,0,0
225,0,0
226,2,1
227,2,2
228,0,0
229,1,1
230,1,1
231,0,0
232,1,2
233,1,1
234,2,2
235,1,2
236,1,2
237,0,0
238,1,1
239,1,1
240,0,0
241,2,2
242,1,1
243,0,0
244,2,2
245,1,2
246,0,0
247,1,1
248,1,1
249,1,2
250,1,2
251,1,1
252,0,0
253,1,2
254,1,1
255,1,0
256,0,0
257,1,1
258,0,0
259,1,1
260,2,0
261,0,0
262,1,2
263,0,2
264,2,0
265,0,0
266,0,0
267,0,0
268,1,1
269,1,1
270,2,1
271,0,0
272,0,0
273,2,2
274,0,0
275,1,1
276,0,0
277,0,0
278,0,0
279,0,0
280,1,1
281,0,0
282,2,2
283,0,0
284,0,0
285,2,1
286,2,0
287,2,2
288,1,1
289,2,1
290,0,0
291,1,1
292,2,1
293,0,0
294,0,0
295,2,1
296,2,2
297,1,2
298,1,2
299,1,1
300,0,0
301,2,2
302,1,1
303,1,1
304,2,1
305,0,0
306,0,0
307,2,1
308,1,1
309,1,1
310,1,1
311,0,0
312,0,0
313,1,1
314,0,0
315,2,2
316,0,0
317,0,0
318,0,0
319,2,2
320,1,1
321,2,0
322,0,0
323,0,0
324,0,0
325,2,1
326,1,1
327,1,1
328,2,2
329,2,1
330,1,1
331,2,2
332,1,2
333,1,1
334,2,2
335,2,2
336,1,1
337,0,0
338,0,0
339,2,2
340,0,0
341,0,0
342,0,0
343,0,0
344,1,1
345,0,0
346,1,1
347,0,0
348,1,1
349,2,1
350,1,0
351,2,2
352,1,2
353,0,0
354,2,1
355,1,1
356,0,0
357,1,1
358,1,1
359,2,1
360,0,0
361,0,1
362,0,0
363,1,1
364,2,1
365,0,0
366,0,0
367,2,1
368,0,0
369,0,0
370,2,2
371,2,2
372,2,1
373,1,1
374,0,0
375,0,1
376,0,0
377,2,2
378,2,2
379,2,2
380,2,2
381,1,1
382,0,0
383,0,0
384,0,0
385,0,0
386,1,1
387,1,2
388,1,1
389,2,1
390,0,2
391,2,1
392,2,2
393,0,0
394,0,0
395,0,0
396,2,0
397,0,0
398,1,1
399,2,1
400,1,1
401,1,1
402,1,1
403,0,0
404,1,1
405,2,2
406,1,2
407,2,2
408,0,0
409,2,0
410,0,0
411,2,2
412,1,1
413,2,1
414,2,2
415,0,0
416,0,0
417,0,0
418,0,0
419,1,1
420,2,2
421,2,2
422,2,2
423,1,2
424,2,1
425,0,0
426,0,0
427,0,0
428,1,1
429,1,2
430,2,2
431,2,2
432,0,0
433,0,0
434,1,1
435,0,0
436,1,1
437,1,1
438,2,1
439,2,0
440,0,0
441,2,2
442,2,2
443,1,2
444,0,2
445,1,1
446,2,1
447,1,1
448,1,1
449,1,2
450,0,0
451,1,2
452,2,1
453,0,0
454,0,0
455,2,1
456,1,2
457,0,0
458,1,1
459,1,2
460,2,2
461,0,0
462,2,2
463,0,0
464,2,1
465,0,0
466,0,0
467,0,1
468,2,2
469,0,0
470,1,1
471,2,2
472,0,0
473,1,1
474,2,1
475,2,1
476,0,0
477,1,1
478,2,2
479,1,2
480,1,1
481,2,1
482,2,1
483,1,1
484,2,1
485,1,1
486,1,1
487,2,1
488,2,1
489,1,1
490,1,1
491,1,1
492,0,0
493,0,0
494,1,1
495,2,2
496,1,2
497,0,0
498,0,0
499,0,0
500,0,0
501,1,2
502,1,1
